Year,Units,Sex,Age,Unit measure,Unit multiplier,Observation status,Value
2002 Q1,1. Seasonally adjusted percentage (%),Men,16 to 17,Percentage (%),Units,Undefined,9.196726941787963
2002 Q1,1. Seasonally adjusted percentage (%),Men,18 to 24,Percentage (%),Units,Undefined,11.868003311933679
2002 Q2,1. Seasonally adjusted percentage (%),Men,,Percentage (%),Units,Undefined,11.36125860515742
2002 Q2,1. Seasonally adjusted percentage (%),Men,16 to 17,Percentage (%),Units,Undefined,8.827910949563114
2002 Q2,1. Seasonally adjusted percentage (%),Men,18 to 24,Percentage (%),Units,Undefined,12.140511133281887
2002 Q3,1. Seasonally adjusted percentage (%),Men,,Percentage (%),Units,Undefined,11.344896007555704
2002 Q3,1. Seasonally adjusted percentage (%),Men,16 to 17,Percentage (%),Units,Undefined,9.78262406219878
2002 Q3,1. Seasonally adjusted percentage (%),Men,18 to 24,Percentage (%),Units,Undefined,11.822419335507481
2002 Q4,1. Seasonally adjusted percentage (%),Men,,Percentage (%),Units,Undefined,10.409346559684504
2002 Q4,1. Seasonally adjusted percentage (%),Men,16 to 17,Percentage (%),Units,Undefined,9.677778773671577
2002 Q4,1. Seasonally adjusted percentage (%),Men,18 to 24,Percentage (%),Units,Undefined,10.631135987284198
2003 Q1,1. Seasonally adjusted percentage (%),Men,,Percentage (%),Units,Undefined,11.316120652479208
2003 Q1,1. Seasonally adjusted percentage (%),Men,16 to 17,Percentage (%),Units,Undefined,11.153118855813535
2003 Q1,1. Seasonally adjusted percentage (%),Men,18 to 24,Percentage (%),Units,Undefined,11.365140750357778
2003 Q2,1. Seasonally adjusted percentage (%),Men,,Percentage (%),Units,Undefined,10.665086821008362
2003 Q2,1. Seasonally adjusted percentage (%),Men,16 to 17,Percentage (%),Units,Undefined,9.63313282229703
2003 Q2,1. Seasonally adjusted percentage (%),Men,18 to 24,Percentage (%),Units,Undefined,10.972965400072763
2003 Q3,1. Seasonally adjusted percentage (%),Men,,Percentage (%),Units,Undefined,10.695311544611052
2003 Q3,1. Seasonally adjusted percentage (%),Men,16 to 17,Percentage (%),Units,Undefined,10.229778393285343
2003 Q3,1. Seasonally adjusted percentage (%),Men,18 to 24,Percentage (%),Units,Undefined,10.83343664083198
2003 Q4,1. Seasonally adjusted percentage (%),Men,,Percentage (%),Units,Undefined,10.276122637839736
2003 Q4,1. Seasonally adjusted percentage (%),Men,16 to 17,Percentage (%),Units,Undefined,9.536593742010773
2003 Q4,1. Seasonally adjusted percentage (%),Men,18 to 24,Percentage (%),Units,Undefined,10.494627739031774
2004 Q1,1. Seasonally adjusted percentage (%),Men,,Percentage (%),Units,Undefined,10.207500926428457
2004 Q1,1. Seasonally adjusted percentage (%),Men,16 to 17,Percentage (%),Units,Undefined,8.795811892968048
2004 Q1,1. Seasonally adjusted percentage (%),Men,18 to 24,Percentage (%),Units,Undefined,10.622872817239678
2004 Q2,1. Seasonally adjusted percentage (%),Men,,Percentage (%),Units,Undefined,10.37076832144442
2004 Q2,1. Seasonally adjusted percentage (%),Men,16 to 17,Percentage (%),Units,Undefined,8.873282994985484
2004 Q2,1. Seasonally adjusted percentage (%),Men,18 to 24,Percentage (%),Units,Undefined,10.809557004200986
2004 Q3,1. Seasonally adjusted percentage (%),Men,,Percentage (%),Units,Undefined,10.852803378378663
2004 Q3,1. Seasonally adjusted percentage (%),Men,16 to 17,Percentage (%),Units,Undefined,9.211050506076775
2004 Q3,1. Seasonally adjusted percentage (%),Men,18 to 24,Percentage (%),Units,Undefined,11.33265739442815
2004 Q4,1. Seasonally adjusted percentage (%),Men,,Percentage (%),Units,Undefined,11.409476351406227
2004 Q4,1. Seasonally adjusted percentage (%),Men,16 to 17,Percentage (%),Units,Undefined,9.299205988037363
2004 Q4,1. Seasonally adjusted percentage (%),Men,18 to 24,Percentage (%),Units,Undefined,12.025190416412787
2005 Q1,1. Seasonally adjusted percentage (%),Men,,Percentage (%),Units,Undefined,11.154902041443544
2005 Q1,1. Seasonally adjusted percentage (%),Men,16 to 17,Percentage (%),Units,Undefined,9.300893771216732
2005 Q1,1. Seasonally adjusted percentage (%),Men,18 to 24,Percentage (%),Units,Undefined,11.69484496666239
2005 Q2,1. Seasonally adjusted percentage (%),Men,,Percentage (%),Units,Undefined,11.517317157203145
2005 Q2,1. Seasonally adjusted percentage (%),Men,16 to 17,Percentage (%),Units,Undefined,9.817440965037095
