Year,Flow of Official Development Assistance (ODA),Aid category (DAC 5 code),Aid sub-category (DAC 5 code),Aid description (CRS code),Observation status,Unit multiplier,Unit measure,Value
2015,Bilateral,Communications (220),,,Undefined,Thousands,GBP (£),1295.60553
2015,Bilateral,Communications (220),,Communications policy and administrative management (22010),Undefined,Thousands,GBP (£),482.02153
2015,Bilateral,Communications (220),,Information and communication technology (ICT) (22040),Undefined,Thousands,GBP (£),68.988
2015,Bilateral,Communications (220),,Radio/television/print media (22030),Undefined,Thousands,GBP (£),24.191
2015,Bilateral,Communications (220),,Telecommunications (22020),Undefined,Thousands,GBP (£),720.405
2016,Bilateral,Communications (220),,,Undefined,Thousands,GBP (£),9036.11922999999
2016,Bilateral,Communications (220),,Communications policy and administrative management (22010),Undefined,Thousands,GBP (£),7147.19382999999
2016,Bilateral,Communications (220),,Information and communication technology (ICT) (22040),Undefined,Thousands,GBP (£),139.14466000000002
2016,Bilateral,Communications (220),,Radio/television/print media (22030),Undefined,Thousands,GBP (£),121.57336000000001
2016,Bilateral,Communications (220),,Telecommunications (22020),Undefined,Thousands,GBP (£),1628.20738
